名子,經緯度,平台,連結,Google Map,種類,縣市,鄉鎮區
半嶺水圳步道,"25.141390863264945, 121.53507806533705",跟著領隊sky玩,https://taiwantour.net/banling-shuizhen/,https://maps.app.goo.gl/WDz8XxGUiUkrPcmHA,健行,台北市,北投區
開餵食堂,"25.051846087913216, 121.61535282697658",Facebook,https://www.facebook.com/reel/1153654183472941,https://maps.app.goo.gl/8Dn1gWXJ1L17TkwUA,小吃,台北市,南港區
黛比鹹粥,"25.04332306383231, 121.44829985396707",Facebook,https://www.facebook.com/reel/1077984924480910,https://maps.app.goo.gl/uLVBDFAav8gQ54XD7,小吃,新北市,新莊區
阿桂蛋餅,"25.070809766160192, 121.61278226930716",Facebook,https://www.facebook.com/reel/1685181402126851,https://maps.app.goo.gl/VR9uSEpNZ7JQXBWNA,小吃,台北市,內湖區
円點紅豆餅,"25.069858976006806, 121.6136234846467",Facebook,https://www.facebook.com/reel/1685181402126851,https://maps.app.goo.gl/uUpi4RjmXsKYsTnKA,甜點 / 冰品,台北市,內湖區
東湖阿水越南美食,"25.069765576170006, 121.613940767463",Facebook,https://www.facebook.com/reel/1685181402126851,https://maps.app.goo.gl/c1XwiSSCGH9UBv1V6,小吃,台北市,內湖區
暖聚(無限期歇業),"25.07053892898754, 121.61697285396768",Facebook,https://www.facebook.com/reel/1685181402126851,https://maps.app.goo.gl/D5cTK4rV3UbooVf6A,小吃,台北市,內湖區
川香園小館,"25.069842657925527, 121.61368202513279",Facebook,https://www.facebook.com/reel/1685181402126851,https://maps.app.goo.gl/WAxZMjPRZvBDzs6j7,小吃,台北市,內湖區
甘泉豆花,"25.071279484235642, 121.61272694120832",Facebook,https://www.facebook.com/reel/1685181402126851,https://maps.app.goo.gl/MnsAdrqLEPvPzXGE6,甜點 / 冰品,台北市,內湖區
歐告卷壽司,"24.930189090102044, 121.23289445396445",Facebook,https://www.facebook.com/reel/595666693573525,https://maps.app.goo.gl/eEFR9LTLrhVgADBF9,生魚片 / 海鮮,桃園市,平鎮區
大龍鳳茶餐廳,"25.040379343468324, 121.57867042085746",Facebook,https://www.facebook.com/reel/1406933740639034,https://maps.app.goo.gl/TdYt1EDRpJ85xvjDA,港式 ,台北市,信義區
源味滷肉飯,"25.17934026911215, 121.44961902513538",Facebook,https://www.facebook.com/reel/1243411550793760,https://maps.app.goo.gl/G1dqvEhJgR6aNmWb6,小吃,新北市,淡水區
海尾子海灘,"25.202634936032144, 121.42392178280564",Facebook,https://www.facebook.com/reel/1243411550793760,https://maps.app.goo.gl/s5qdn7gamcLTdFXD8,室外景點,新北市,淡水區
豐衣足食,"25.050740409379642, 121.45207946930674",Facebook,https://www.facebook.com/reel/1168296902006042,https://maps.app.goo.gl/DbxCamFWrBcDM4fh8,小吃,新北市,新莊區
火雲長伯豆標,"23.95535250750108, 120.58605817847204",Facebook,https://www.facebook.com/reel/1217468920042991,https://maps.app.goo.gl/3t1uE2EJs7bFF5wj9,小吃,彰化縣,員林市
魚滿堂豐原排骨麵,"23.96240434903, 120.5705795478238",Facebook,https://www.facebook.com/reel/1217468920042991,https://maps.app.goo.gl/U3aCc5nPgs9W4JGJ7,小吃,彰化縣,員林市
寶斗肉圓,"23.95839767651114, 120.57150126743785",Facebook,https://www.facebook.com/reel/1217468920042991,https://maps.app.goo.gl/qmwqZiG5J2cUWPqS9,小吃,彰化縣,員林市
華成牛肉麵,"23.962843731006835, 120.57281299627265",Facebook,https://www.facebook.com/reel/1217468920042991,https://maps.app.goo.gl/92835zhqbWSHCAxx6,牛肉麵,彰化縣,員林市
好胃口胡椒餅,"23.95920671038208, 120.57209891161224",Facebook,https://www.facebook.com/reel/1217468920042991,https://maps.app.goo.gl/tqvoFYBn8zE1mgBz7,小吃,彰化縣,員林市
夢幻三家,"23.9602882, 120.570505",Facebook,https://www.facebook.com/reel/1217468920042991,https://maps.app.goo.gl/RyCbdRxyZbpHZ8Dq6,小吃,彰化縣,員林市
不老松足湯中壢延平行館,"24.9581722, 121.2239426",Facebook,https://www.facebook.com/reel/543318655518672,https://maps.app.goo.gl/i9yqjHzpSZjs42Yt5,旅館,桃園市,中壢區
W咖啡,"24.2365505, 120.5560393",Facebook,https://www.facebook.com/reel/683787010786262,https://maps.app.goo.gl/SUJRYBiDWuhE3R3C6,咖啡廳,台中市,沙鹿區
北漁生鮮沙西米,"25.018417060084385, 121.49704654811583",Facebook,https://www.facebook.com/reel/2246956629151666,https://maps.app.goo.gl/x2gjoqYbMWzSix6b6,生魚片 / 海鮮,台北市,萬華區
東方匯旗艦店,"24.05684782985214, 120.44036530996257",Facebook,https://www.facebook.com/reel/9340217949415980,https://maps.app.goo.gl/hLFEr6U2ZDc6WSo57,甜點 / 冰品,彰化縣,鹿港鎮
水月手工冰棒,"25.0700447, 121.4848481",Facebook,https://www.facebook.com/reel/2963718330596202,https://maps.app.goo.gl/P7yhiPdUFrVNtyVB6,甜點 / 冰品,新北市,三重區
火紅手桿麵,"25.0204019, 121.5541516",Facebook,https://www.facebook.com/reel/1235307774836381,https://maps.app.goo.gl/uGJdzcCZ1JKfHVt29,小吃,台北市,大安區
阿清豆漿,"25.0216138, 121.5542358",Facebook,https://www.facebook.com/reel/1235307774836381,https://maps.app.goo.gl/UJkGtxFPoD6etvkd7,小吃,台北市,大安區
午冬甜點(午冬 5.TUNG),"25.027257, 121.551608",Facebook,https://www.facebook.com/reel/1235307774836381,https://maps.app.goo.gl/sE9gufKg5ZW3DWcJ7,甜點 / 冰品,台北市,大安區
小慧涼麵,"25.0187831, 121.5511605",Facebook,https://www.facebook.com/reel/1235307774836381,https://maps.app.goo.gl/nXsNJYiFdHsSrXBK8,小吃,台北市,大安區
老宋記真善美牛肉麵,"25.0199052, 121.5538534",Facebook,https://www.facebook.com/reel/1235307774836381,https://maps.app.goo.gl/QujyBPDgbvngjYf16,牛肉麵,台北市,大安區
麗馥小吃,"25.020909552754986, 121.55415986624286",Facebook,https://www.facebook.com/reel/1235307774836381,https://maps.app.goo.gl/NbVAufbLMohDaLyH6,小吃,台北市,大安區
樂業麵線,"25.0203095, 121.5525343",Facebook,https://www.facebook.com/reel/1235307774836381,https://maps.app.goo.gl/QH3SE6sz51eo9NUDA,小吃,台北市,大安區
佐藤咖喱,"25.022143455712875, 121.55444623382967",Facebook,https://www.facebook.com/reel/1235307774836381,https://maps.app.goo.gl/SQB4bf8MuAvgami68,咖哩,台北市,大安區
星夢森林森林劇場,"24.6807635, 121.7399275",Facebook,https://www.facebook.com/reel/1347246593205103,https://maps.app.goo.gl/xdt24Q2cagdn4rPu9,牧場,宜蘭縣,冬山鄉
老串角-板橋中山店,"25.0199988, 121.4810592",Facebook,https://www.facebook.com/reel/1267455485115709,https://maps.app.goo.gl/N3Hc33U8xoLq4XSY6,居酒/燒烤,新北市,板橋區
老串角-三重店,"25.0614534, 121.4867114",Facebook,https://www.facebook.com/reel/1267455485115709,https://maps.app.goo.gl/JWBbsyx9EpXSYZDw8,居酒/燒烤,新北市,三重區
老串角-新莊店,"25.0350849, 121.4481752",Facebook,https://www.facebook.com/reel/1267455485115709,https://maps.app.goo.gl/gJdL1kQfj92ge9jG6,居酒/燒烤,新北市,新莊區
老串角-永和永貞店,"25.0056484, 121.5106993",Facebook,https://www.facebook.com/reel/1267455485115709,https://maps.app.goo.gl/d9K7PmsRCMaFKM8q6,居酒/燒烤,新北市,永和區
老串角-土城店,"24.968371, 121.438034",Facebook,https://www.facebook.com/reel/1267455485115709,https://maps.app.goo.gl/fjKszvNP7dFu1n4n6,居酒/燒烤,新北市,土城區
螢營的天空,"24.0367618, 121.1516304",Facebook,https://www.facebook.com/reel/1427805125073502,https://maps.app.goo.gl/Ee7on6mujupXk4zr7,室外景點,南投縣,仁愛鄉
何家香香麻辣鴛鴦鍋吃到飽,"25.0003359, 121.481186",Facebook,https://www.facebook.com/reel/1111099037727430,https://maps.app.goo.gl/CySrC9gRnXGkzmFK7,火鍋,新北市,中和區
苦花大王,"24.752237, 121.645831",Facebook,https://www.facebook.com/reel/3627441610891416,https://maps.app.goo.gl/diBnrEi4CYJZGgTG7,海鮮/活魚,宜蘭縣,員山鄉
茄苳瀑布,"25.053810933397504, 121.67605164233025",小兔小安*旅遊札記,https://bunnyann.tw/nightshade-falls-25/,https://maps.app.goo.gl/ipezfF1LrgyHBPbeA,室外景點,新北市,汐止區
羌仔連埤,"24.729299, 121.688575 ",跟著領隊sky玩,https://taiwantour.net/qiangzi-lianpi/,https://maps.app.goo.gl/cjGi9QmF1BRBgG1a6,室外景點,宜蘭縣,員山鄉
明池國家森林遊樂區,"24.6509119, 121.4715114",Facebook,https://www.facebook.com/reel/1080575277446277,https://maps.app.goo.gl/iGM3PiDWuZePWRTj8,室外景點,宜蘭縣,大同鄉
磺溪頭清水園區,"25.2114695, 121.5957919",跟著領隊sky玩,https://taiwantour.net/suanxitou/,https://maps.app.goo.gl/uXxb2pPXwHUncG91A,室外景點,新北市,金山區
萌萌物語,"25.0093441, 121.644322",Facebook,https://www.facebook.com/reel/2391435997898066,https://maps.app.goo.gl/5mdn6kJRkZnuZzTeA,動物餐廳,新北市,石碇區
莫恩布丁,"25.0190233, 121.464525",Facebook,https://www.facebook.com/reel/964387395540983,https://maps.app.goo.gl/f1s2er5rTMGmb8Je6,甜點 / 冰品,新北市,板橋區
宜蘭礁溪 空ㄟ農場,"24.8381491, 121.7757004",Facebook,https://www.facebook.com/reel/1704596880156055,https://maps.app.goo.gl/Nzn86uZ2vSjtXBSEA,農場(牧場),宜蘭縣,礁溪鄉
天然山壁自湧泉,"24.7411323, 121.688624",Facebook,https://www.facebook.com/reel/2469005786792687,https://maps.app.goo.gl/fbTLs4d1nJqybYTw6,室外景點,宜蘭縣,員山鄉
一碗小肥羊,"24.952708, 121.542197",Facebook,https://www.facebook.com/reel/968290391959023(失效),https://maps.app.goo.gl/5fNkh9jpeuxxfSQV9,羊肉,新北市,新店區
犢饗溫體牛,"25.0243064, 121.4660617",Facebook,https://www.facebook.com/reel/3965623263717511,https://maps.app.goo.gl/bTN7WauNQ1gSt9t2A,牛肉,新北市,板橋區
喫飽沙克飯,"25.0834751, 121.4374519",Facebook,https://www.facebook.com/reel/1453945715987980,https://maps.app.goo.gl/DD8PzDoquV1gjmP9A,小吃,新北市,五股區
芭NANA CAFÉ,"25.1276232, 121.3455597",Facebook,https://www.facebook.com/reel/1177569190363079,https://maps.app.goo.gl/H6UyCwAYHyppdzFH7,咖啡廳,新北市,林口區
微風平台,"25.0841035, 121.5284672",Facebook,https://www.facebook.com/reel/1366402871069185,https://maps.app.goo.gl/LRqBYzMdBJ2DtPKu7,室外景點,台北市,中山區
台北香香甜品,"25.0311403, 121.5039879",Facebook,https://www.facebook.com/reel/660223526457220,https://maps.app.goo.gl/QDogTHJFWjZnLm5t6,冰品 / 甜點,台北市,萬華區
蘭姐麵線油飯,"25.0270487, 121.4642598",Facebook,https://www.facebook.com/reel/3121464104696386,https://maps.app.goo.gl/SgeEmvyChT4VZvxD8,小吃,新北市,板橋區
喫飯食堂,"25.032338, 121.529477",Facebook,https://www.facebook.com/watch/?ref=saved&v=1027396022149520,https://maps.app.goo.gl/ot2jWBoAoPaZnzPa6,合菜,台北市,大安區
萌萌森林物語,"25.0093441, 121.644322",Facebook,https://www.facebook.com/reel/1448461943191058,https://maps.app.goo.gl/5mdn6kJRkZnuZzTeA,戶外景點,新北市,石碇區
謀魚蝦也蠔,"25.0788173, 121.4918764",Facebook,https://www.facebook.com/reel/3854447384805699,https://maps.app.goo.gl/4uRDVPe1YEsz8cKk7,海鮮,新北市,三重區
第四橫街那家 ,"24.2564276, 120.8297636",Facebook,https://www.facebook.com/reel/1465015651544420,https://maps.app.goo.gl/mHZqxtAJsW8gXVrr9,冰品 / 甜點,台中市,東勢區
忻鮨壽司,"25.0385451, 121.5008426",Facebook,https://www.facebook.com/reel/1848253302686747,https://maps.app.goo.gl/E7F3bK6tiAxcxSFaA,生魚片 / 海鮮,台北市,萬華區
正谷家,"24.996341056249747, 121.29658312484823",Facebook,https://www.facebook.com/reel/1725992688316565,https://maps.app.goo.gl/jxYvGrPw62k7EZng8,火鍋,桃園市,桃園區
鴨肉本,"22.6287497, 120.2827299",Facebook,https://www.facebook.com/reel/1320380289194305,https://maps.app.goo.gl/PBTecudoJSYYY9hH9,小吃,高雄市,鹽埕區
双妃奶茶,"22.6246937, 120.2836393",Facebook,https://www.facebook.com/reel/1320380289194305,https://maps.app.goo.gl/WFTw7dVaeyt2k395A,飲料,高雄市,鹽埕區
鹽埕吳家金桔豆花,"22.6281759, 120.2843741",Facebook,https://www.facebook.com/reel/1320380289194305,https://maps.app.goo.gl/tW2ZnkJc2yPjHdVx6,冰品 / 甜點,高雄市,鹽埕區
阿成師廟口熱炒,"22.6298804, 120.2853098",Facebook,https://www.facebook.com/reel/1320380289194305,https://maps.app.goo.gl/nnTNSPThTBPwfpYw5,熱炒類,高雄市,鹽埕區
企鵝文肉羹店,"25.0580219, 121.5201503",Facebook,https://www.facebook.com/reel/617802531253068,https://maps.app.goo.gl/Hr9QUWscwCucc9Kr8,小吃,台北市,大同區
任澤鐵板燒-梧棲店,"24.2588665, 120.5321034",Facebook,https://www.facebook.com/reel/1444696176904995,https://maps.app.goo.gl/KAt1N8DkkArmR9Ds9,鐵板燒,台中市,梧棲區
新竹｜文山步道,"24.8246843, 121.0459614",Facebook,https://www.facebook.com/reel/1472056517513378,https://maps.app.goo.gl/ayzpGS7QQwWPxcG18,健行,新竹縣,新埔鎮
蚵學家,"24.8565861, 120.9996376",Facebook,https://www.facebook.com/reel/558197453982495,https://maps.app.goo.gl/XHYLavB3sNMK4tUy9,熱炒/燒烤,新竹縣,竹北市
桃園Mr’may義式百匯,"25.0076916, 121.3026162",Facebook,https://www.facebook.com/reel/2078658869311175,https://maps.app.goo.gl/LZd1Vt9aSXJC56aN9,buffet,桃園市,桃園區
煙波大飯店 新竹湖濱館,"24.7751917, 120.9676462",Facebook,https://www.facebook.com/reel/1130309508850755,https://maps.app.goo.gl/EThQgFAS2WwRMtL38,戶外景點,新竹市,東區
告春食彩海鮮鍋物,"24.8186363, 121.7695206",Facebook,https://www.facebook.com/reel/686416470545406,https://maps.app.goo.gl/AJDkqeDd6ekN6HGw7,海鮮,宜蘭縣,礁溪鄉
